s,v,beta,omega,n,xi,delta,F_dr
4734.0,19.745520903060232,1.4299524349861013,-0.12411214224019838,1.1412792354689898,-1.463382198918735,-0.024139588089383896,313.7651728248826
4737.0,19.719160412041827,1.4478024231703424,-0.12396333900678456,1.0409471184723584,-1.4815036437030422,-0.024277631483267625,312.0364999798826
4740.0,19.692055535658085,1.4657133597321523,-0.1237992335749985,0.9397994926054767,-1.4995853494078444,-0.024391939490572716,310.29391726136186
4743.0,19.66420777474257,1.4836889767914894,-0.12361953268535014,0.8381387798659261,-1.517622655076849,-0.02448466074920666,308.53778362440414
4746.0,19.635618797267895,1.5017332226278357,-0.12342393083940296,0.7362926353019225,-1.5356108172891663,-0.02455672542465791,306.77618111129283
4749.0,19.60629049917409,1.519850186019175,-0.12321210984688227,0.6346148239999959,-1.5535449121498437,-0.02460824054298972,305.02121125670607
4752.0,19.576224957019257,1.5380440229812864,-0.12298373835438732,0.5334861775631081,-1.5714198853557182,-0.024638733774494374,303.2870536241212
4755.0,19.54542432830488,1.5563188696524441,-0.12273847136292607,0.4333151811533076,-1.589230804369951,-0.024647319730929665,301.58858953444917
4758.0,19.51389072354326,1.5746787334625538,-0.12247594974103534,0.33453753198987446,-1.6069728647320627,-0.02463282410720293,299.9413145289711
4761.0,19.481626071089252,1.5931273463087998,-0.12219579973507566,0.23761535027870875,-1.6246413189300575,-0.02459389820356732,298.3612181862567
4764.0,19.448631978697268,1.6116679726851417,-0.12189763248011795,0.1430361661213002,-1.6422316886239312,-0.024529158817218757,296.8646607958208
4767.0,19.41490959247293,1.63030317051403,-0.12158104351788324,0.051310690149893486,-1.6597399550060092,-0.02443740134322877,295.4683154662525
4770.0,19.380459456052584,1.649034504076794,-0.12124561232639278,-0.03703070642640051,-1.6771626102881048,-0.024317949708371568,294.18907777184126
4773.0,19.345281373645186,1.6678622146307873,-0.12089090186713117,-0.12144252527161593,-1.6944968557075402,-0.024171177294467338,293.0401635863135
4776.0,19.30937432665132,1.6867848885869081,-0.12051645815875847,-0.20137025482055487,-1.7117408090600115,-0.02399880334245248,292.03157887124604
4779.0,19.272736436673,1.7057991174730758,-0.12012180988904482,-0.27625809695063674,-1.7288934681705141,-0.023791209288828993,292.3600417261238
4782.0,19.2353441963094,1.7248912373238077,-0.11970646831464037,-0.3455575965339996,-1.7459548097254503,-0.023548039218621,292.04072676119165
4785.0,19.19720436741296,1.7440583088507158,-0.11926992684926703,-0.40876135327196544,-1.7629261034232133,-0.023260702764847443,291.52341986113123
4788.0,19.158318704911807,1.763291723144503,-0.11881166075194312,-0.4653746909902768,-1.7798097510855435,-0.02293193690382839,291.13520559957186
4791.0,19.118682747903982,1.7825780048689477,-0.11833112696975133,-0.5149360461484187,-1.7966090341137255,-0.02256305829857631,290.87623358350214
4794.0,19.078291684576964,1.8019011645441891,-0.11782776409273943,-0.557034179398789,-1.813328276069614,-0.022153933711249647,290.74550114137736
4797.0,19.037140465030998,1.8212430432596272,-0.11730099240153384,-0.5913188063028999,-1.8299726880703786,-0.02170331334670349,290.7368721388438
4800.0,18.995224052255505,1.840583829784091,-0.11675021403544354,-0.6175097245827254,-1.8465477538635835,-0.021209019436973297,290.8698211274199
4803.0,18.952536640515394,1.8599024755392892,-0.11617481332598967,-0.6354025516899943,-1.8630591852232854,-0.020667922645048215,291.3428257602395
4806.0,18.90906476598364,1.8791761280593697,-0.1155741574473046,-0.6448730893980124,-1.8795130388848682,-0.02007577972332202,291.6775897219444
4809.0,18.864812522433773,1.8983852835317598,-0.11494759697586221,-0.6458837452827222,-1.8959151839839274,-0.01942672097095053,292.1143868646209
4812.0,18.81977564891561,1.9175095247120562,-0.11429446681077492,-0.6384729136508491,-1.9122708254898069,-0.018712708670903803,292.65393702703966
4815.0,18.77394995151384,1.9365295835382044,-0.11361408737356163,-0.6227557269150489,-1.928584490955488,-0.01792254686629437,293.2961293658262
4818.0,18.727331296947188,1.9554276910361834,-0.1129057660760664,-0.5989185890432788,-1.9448601495574236,-0.0170404486877518,294.0412727493546
4821.0,18.679915543350308,1.974187802765548,-0.11216879907883841,-0.56721302508796,-1.9611011675467411,-0.016043987297598716,294.8883633420012
4824.0,18.631698552904002,1.992795727497949,-0.1114024733417485,-0.5279487307947462,-1.9773098241596732,-0.014901140147177578,295.83680239904015
4827.0,18.582676117292582,2.0112391540182712,-0.11060606895354634,-0.48148478715855153,-1.9934871149976043,-0.01356645594659643,296.8861517886341
4830.0,18.53284388468538,2.0295076059765873,-0.10977886170187373,-0.4282201998759604,-2.009633068160011,-0.011976797489631028,298.0370989666319
4833.0,18.482197229388113,2.0475923301335293,-0.1089201258330303,-0.36858552056280913,-2.0257468549841406,-0.010049000832861976,299.29265539047475
4836.0,18.43073103832039,2.0654861312621713,-0.10802913701088272,-0.30303513334666915,-2.0418266515058687,-0.007686959789892319,301.5360371611855
4839.0,18.378382926127816,2.083177461728196,-0.10710517731837124,-0.2320396156954138,-2.057869430156793,-0.004791444647400769,303.3108195518948
4842.0,18.32518125302295,2.1006654917550835,-0.10614753864930843,-0.15609520667363466,-2.0738710710338877,0.03170335858231037,304.9870991885024
4845.0,18.271127219407852,2.117947329969693,-0.10515388766252717,-0.07568836380780089,-2.089826617311884,0.03519406271056809,306.7255285466443
4848.0,18.21622152283838,2.135020767269198,-0.10412510863980934,0.008700559409071893,-2.1057300032950774,0.038116615473500134,308.5968781854796
4851.0,18.160454599621595,2.1518833847808088,-0.10306063733067526,0.09660269390096084,-2.1215744586515397,0.04058935519352815,310.6221158513605
4854.0,18.10381456110924,2.1685330395170106,-0.10195995633927395,0.18756214880885047,-2.1373525870744734,0.042760349384307506,312.7372748253438
4857.0,18.046293597696803,2.1849682424759713,-0.10082260142252909,0.2811387281927829,-2.15305648868938,0.04474762238520212,315.98645867225446
4860.0,17.987800007228273,2.2011810337027704,-0.09964817560596707,0.3769114199431729,-2.1686775426408853,0.04663313172431515,318.6515424740561
4863.0,17.92837590410162,2.2171743343009847,-0.09843636103790723,0.47446114110174276,-2.1842067071932796,0.04847095949957022,320.79951330805864
4866.0,17.868061483735726,2.232950465021291,-0.09718693134424429,0.5734046872584465,-2.199634763362665,0.0502957180688419,322.82413145819817
4869.0,17.806866263457408,2.2485090584184735,-0.0958997656841726,0.67339347619959,-2.214952239284912,0.0521291670830661,324.8403196350815
4872.0,17.744790403506894,2.2638487907813962,-0.09457486355047007,0.774106249362812,-2.2301493243272454,0.05398486879423713,326.83284622819525
4875.0,17.681835492940326,2.278968167411459,-0.09321235981804588,0.8752472286158295,-2.2452159576360167,0.055871291141952904,328.7749763803409
4878.0,17.618005721547338,2.293865573197944,-0.0918125398963816,0.9765463589705059,-2.2601420624180384,0.05779375211762995,330.679415293094
4881.0,17.553304375649326,2.308539002855892,-0.09037585493554057,1.0777590000485913,-2.274917723981775,0.059755553611081924,332.56451405145486
4884.0,17.487733185543732,2.3229859789902774,-0.08890293682888314,1.17866428431254,-2.2895330631266604,0.061758635750593996,334.4388883509472
4887.0,17.421293129691907,2.337203644279769,-0.08739461263465041,1.2790635896358304,-2.303978254632472,0.06380399212458975,336.30654835711437
4890.0,17.353984830031667,2.351188822207614,-0.08585191798568831,1.3787792276941302,-2.3182438549057056,0.06589193574859378,338.16983282270866
4893.0,17.285808682728014,2.364938062790644,-0.08427610901115289,1.4776523465636624,-2.332320673287859,0.06802221944938906,340.03025559163444
4896.0,17.216764911659414,2.3784476848633993,-0.08266867224711463,1.5755413619698404,-2.346199587580261,0.07019404648777965,341.88868323207123
4899.0,17.14685362879761,2.39171381458416,-0.08103133198859025,1.672321040606074,-2.3598719756237005,0.07240601387732575,343.7459380802085
4902.0,17.076074829820858,2.4047324226089173,-0.07936605454314337,1.767880412738864,-2.373329862719592,0.0746559862613967,345.604708800396
